date,mor_temp,mor_humid,mor_wspd,mor_wdeg,mor_cloud,mor_weather_id,noo_temp,noo_humid,noo_wspd,noo_wdeg,noo_cloud,noo_weather_id,aft_temp,aft_humid,aft_wspd,aft_wdeg,aft_cloud,aft_weather_id,daily_power
2016-06-06,17.22142857142857,74.14285714285714,2.142857142857143,48.57142857142857,4.571428571428571,800,24.985999999999997,56.8,3.4,38.0,5.8,800,22.62,61.285714285714285,3.0,175.71428571428572,39.42857142857143,802,16.01
2016-06-07,20.36714285714286,74.28571428571429,2.4285714285714284,41.42857142857143,25.857142857142858,802,25.994,51.2,3.6,54.0,32.0,802,20.085714285714285,66.14285714285714,3.62,137.57142857142858,34.42857142857143,802,21.05
2016-06-08,18.054285714285715,71.28571428571429,2.142857142857143,94.28571428571429,34.42857142857143,802,22.118,47.4,5.4,320.0,32.0,802,16.378571428571426,64.57142857142857,5.142857142857143,332.85714285714283,29.0,801,14.05
2016-06-09,14.965714285714284,66.85714285714286,2.2857142857142856,207.14285714285714,59.0,804,19.646,46.0,4.6,312.0,20.0,801,16.72285714285714,47.285714285714285,4.142857142857143,334.2857142857143,3.142857142857143,800,14.05
2016-06-10,14.19857142857143,68.14285714285714,1.0771428571428572,72.71428571428571,25.857142857142858,801,21.078000000000003,44.2,1.6,40.0,40.0,802,19.374285714285715,55.57142857142857,2.0,58.57142857142857,54.42857142857143,803,2.99
2016-06-11,15.992857142857146,78.71428571428571,2.7142857142857144,42.857142857142854,77.28571428571429,300,19.934,62.6,2.8,44.0,80.0,804,18.474285714285713,66.85714285714286,2.5714285714285716,117.14285714285714,50.0,802,3.99
2016-06-12,17.262857142857143,73.57142857142857,2.0,241.42857142857142,64.42857142857143,803,19.610000000000003,63.4,3.8,240.0,43.0,802,17.351428571428574,78.42857142857143,2.212857142857143,212.71428571428572,40.0,802,13.01
2016-06-13,15.742857142857142,80.28571428571429,3.2857142857142856,244.28571428571428,62.142857142857146,802,17.445999999999998,82.4,3.8,248.0,40.0,802,15.644285714285715,79.28571428571429,3.2857142857142856,251.42857142857142,45.0,802,8.96
2016-06-14,14.900000000000002,76.42857142857143,4.0,225.71428571428572,55.0,802,17.568,63.6,6.2,240.0,36.0,802,16.661428571428573,65.14285714285714,3.857142857142857,215.71428571428572,34.42857142857143,802,19.0
2016-06-15,14.314285714285715,76.0,1.8571428571428572,221.42857142857142,34.285714285714285,802,15.702000000000002,73.2,3.4,226.0,40.0,802,15.022857142857145,71.42857142857143,2.142857142857143,187.14285714285714,31.428571428571427,802,16.0
2016-06-16,14.69714285714286,71.57142857142857,1.4285714285714286,98.57142857142857,37.0,801,17.968,58.6,2.0,156.0,75.0,803,14.425714285714287,81.85714285714286,1.5714285714285714,235.71428571428572,57.142857142857146,520,9.01
2016-06-17,14.725714285714286,78.28571428571429,1.7142857142857142,221.42857142857142,60.0,802,17.276,63.8,3.2,188.0,40.0,802,15.62857142857143,76.14285714285714,2.142857142857143,250.0,37.142857142857146,802,16.96
2016-06-18,14.775714285714287,77.71428571428571,3.2857142857142856,254.28571428571428,34.285714285714285,802,15.356,77.6,6.4,300.0,40.0,802,13.8,78.0,6.142857142857143,308.57142857142856,62.142857142857146,802,11.98
2016-06-19,13.268571428571429,71.57142857142857,3.2857142857142856,301.42857142857144,44.714285714285715,802,17.628,56.0,2.4,212.0,32.0,802,17.635714285714286,59.0,2.7142857142857144,178.57142857142858,42.857142857142854,802,20.97
2016-06-20,15.37857142857143,80.57142857142857,4.857142857142857,197.14285714285714,79.28571428571429,803,16.321999999999996,81.6,5.8,194.0,75.0,501,16.244285714285713,85.57142857142857,4.285714285714286,228.57142857142858,70.28571428571429,310,6.97
2016-06-21,16.815714285714286,82.71428571428571,2.7142857142857144,212.85714285714286,77.14285714285714,803,18.992,81.2,3.4,204.0,75.0,803,17.624285714285715,83.28571428571429,2.0,224.28571428571428,34.42857142857143,802,6.95
2016-06-22,17.818571428571428,76.71428571428571,2.142857142857143,164.28571428571428,53.714285714285715,804,24.016,62.0,3.418,170.0,36.0,802,23.857142857142858,70.57142857142857,2.5714285714285716,130.0,40.0,802,21.96
2016-06-23,21.407142857142862,78.0,3.0,158.57142857142858,42.857142857142854,802,26.104000000000003,67.4,3.4,112.0,55.4,801,23.564285714285713,76.14285714285714,3.0,164.28571428571428,31.571428571428573,500,19.97
2016-06-24,19.2,79.57142857142857,3.142857142857143,258.57142857142856,62.142857142857146,802,21.574,59.6,4.2,288.0,36.0,802,19.344285714285714,64.57142857142857,3.142857142857143,287.14285714285717,20.714285714285715,801,24.99
2016-06-25,15.474285714285713,73.57142857142857,2.7142857142857144,288.57142857142856,50.0,802,17.456,65.2,3.0,286.0,61.0,803,15.179999999999998,78.28571428571429,1.6757142857142857,223.14285714285714,18.285714285714285,801,11.98
2016-06-26,14.498571428571429,79.85714285714286,3.7142857142857144,224.28571428571428,44.285714285714285,802,15.951999999999998,78.8,3.2,240.0,40.0,520,15.88142857142857,76.14285714285714,3.5714285714285716,218.57142857142858,31.571428571428573,802,15.99
2016-06-27,14.597142857142858,82.85714285714286,4.571428571428571,212.85714285714286,62.142857142857146,803,17.394,80.6,4.8,262.0,61.0,500,16.747142857142855,72.0,2.142857142857143,220.0,40.0,802,11.96
2016-06-28,16.14857142857143,75.0,2.2857142857142856,188.57142857142858,31.571428571428573,802,20.421999999999997,54.0,3.8,206.0,40.0,802,18.428571428571427,61.42857142857143,4.285714285714286,222.85714285714286,60.0,803,20.01
2016-06-29,15.105714285714283,74.57142857142857,5.857142857142857,232.85714285714286,55.0,802,19.189999999999998,51.2,5.8,220.0,40.0,802,16.650000000000002,71.28571428571429,3.2214285714285715,254.42857142857142,78.57142857142857,803,16.05
2016-06-30,15.459999999999999,82.57142857142857,3.857142857142857,210.0,62.142857142857146,802,17.83,80.8,4.8,202.0,47.0,802,18.264285714285712,73.0,3.857142857142857,225.71428571428572,31.571428571428573,802,1.98
2016-07-01,17.09142857142857,81.57142857142857,4.285714285714286,230.0,59.285714285714285,803,18.1,76.6,5.0,216.0,68.0,803,16.891428571428573,79.57142857142857,3.857142857142857,237.14285714285714,45.0,802,2.97
2016-07-02,14.604285714285714,68.14285714285714,5.142857142857143,240.0,25.714285714285715,801,16.46,59.0,6.6,260.0,31.2,801,16.195714285714285,54.285714285714285,4.857142857142857,252.85714285714286,18.571428571428573,801,7.95
2016-07-03,14.748571428571427,72.28571428571429,3.7142857142857144,230.0,23.0,801,18.046,50.6,5.2,226.0,35.2,802,17.05857142857143,59.714285714285715,2.857142857142857,251.42857142857142,32.42857142857143,802,7.99
2016-07-04,15.452857142857143,75.57142857142857,1.292857142857143,116.57142857142857,31.571428571428573,802,20.832,58.0,1.4,116.0,24.0,801,19.764285714285716,55.42857142857143,3.0,228.57142857142858,41.285714285714285,802,24.97
2016-07-05,16.384285714285713,76.0,4.714285714285714,240.0,54.42857142857143,803,18.198,67.4,6.8,280.0,40.0,802,15.87142857142857,66.85714285714286,4.285714285714286,298.57142857142856,41.42857142857143,802,20.98
2016-07-06,15.555714285714284,74.0,2.0,262.85714285714283,39.42857142857143,802,19.55,50.8,3.4,322.0,40.0,802,16.705714285714286,57.714285714285715,2.857142857142857,241.42857142857142,28.714285714285715,802,28.02
2016-07-07,15.637142857142857,69.42857142857143,2.0,128.57142857142858,34.42857142857143,802,21.428,50.8,3.0,216.0,47.0,802,20.437142857142856,64.28571428571429,1.8571428571428572,154.28571428571428,34.42857142857143,802,20.95
2016-07-08,17.617142857142856,66.0,3.4285714285714284,227.14285714285714,34.42857142857143,802,21.922000000000004,50.4,5.6,262.0,54.0,802,20.375714285714285,63.57142857142857,5.142857142857143,261.42857142857144,34.285714285714285,802,9.03
2016-07-09,18.062857142857144,75.14285714285714,3.5714285714285716,234.28571428571428,30.428571428571427,801,23.683999999999997,51.8,5.0,238.0,24.0,801,22.412857142857142,52.0,3.0,245.71428571428572,34.42857142857143,802,8.03
2016-07-10,20.92142857142857,67.71428571428571,3.0342857142857147,192.71428571428572,31.571428571428573,802,27.458,41.8,6.2,224.0,32.0,802,21.975714285714286,65.28571428571429,4.285714285714286,288.57142857142856,75.0,803,2.96
2016-07-11,17.497142857142855,68.0,5.285714285714286,225.71428571428572,31.571428571428573,802,21.272000000000002,51.6,6.8,236.0,36.0,802,19.584285714285716,59.42857142857143,5.428571428571429,232.85714285714286,12.857142857142858,801,3.99
2016-07-12,16.871428571428574,71.14285714285714,3.857142857142857,234.28571428571428,48.57142857142857,801,18.112,72.2,3.6,258.0,40.0,802,16.115714285714287,69.57142857142857,1.8699999999999999,261.0,19.428571428571427,801,9.03
2016-07-13,13.930000000000001,79.85714285714286,3.0,238.57142857142858,47.857142857142854,802,16.534,69.2,5.4,314.0,40.0,802,15.815714285714288,60.57142857142857,5.142857142857143,314.2857142857143,20.428571428571427,801,9.98
2016-07-14,14.15857142857143,76.42857142857143,1.7142857142857142,218.57142857142858,36.42857142857143,801,17.918,56.0,6.4,302.0,24.0,801,15.89,58.42857142857143,5.285714285714286,327.14285714285717,9.428571428571429,800,28.01
2016-07-15,14.814285714285715,74.85714285714286,1.7142857142857142,228.57142857142858,59.285714285714285,803,20.701999999999998,48.2,4.0,302.0,28.0,801,18.884285714285713,57.857142857142854,3.2857142857142856,280.0,31.285714285714285,800,19.97
2016-07-16,17.321428571428573,77.0,3.2857142857142856,231.42857142857142,62.142857142857146,803,22.736,62.8,3.6,256.0,39.0,802,21.955714285714286,65.28571428571429,2.142857142857143,261.42857142857144,34.857142857142854,802,20.99
2016-07-17,19.322857142857142,75.85714285714286,3.2857142857142856,251.42857142857142,57.142857142857146,802,23.830000000000002,61.6,4.8,276.0,36.0,802,21.968571428571426,64.42857142857143,3.4285714285714284,252.85714285714286,25.857142857142858,801,19.0
2016-07-18,20.484285714285715,71.85714285714286,2.142857142857143,218.57142857142858,38.57142857142857,803,26.592000000000002,49.0,2.0140000000000002,232.0,20.0,801,23.865714285714283,53.42857142857143,2.2857142857142856,110.0,10.285714285714286,800,22.01
2016-07-19,21.97142857142857,66.57142857142857,1.7142857142857142,107.14285714285714,1.0,800,29.912,44.0,3.0,140.0,0.2,800,27.591428571428573,52.142857142857146,2.7142857142857144,105.71428571428571,1.0,800,21.96
2016-07-20,24.824285714285715,62.42857142857143,3.4285714285714284,128.57142857142858,1.0,800,31.23,41.2,5.4,200.0,20.2,800,26.284285714285712,55.42857142857143,3.0,244.28571428571428,43.57142857142857,802,22.02
2016-07-21,20.028571428571432,72.28571428571429,3.142857142857143,248.57142857142858,20.571428571428573,801,25.292,56.0,3.6,242.0,32.0,802,21.859999999999996,65.0,4.0,328.57142857142856,42.857142857142854,802,20.95
2016-07-22,19.404285714285713,81.0,1.8571428571428572,210.0,45.0,802,24.090000000000003,63.6,2.4,162.0,36.0,802,21.724285714285713,72.0,4.428571428571429,330.0,34.42857142857143,802,17.95
2016-07-23,20.132857142857144,82.57142857142857,2.4285714285714284,247.14285714285714,45.0,802,23.036,72.6,4.6,326.0,40.0,802,20.381428571428568,76.57142857142857,4.0,318.57142857142856,29.285714285714285,802,15.99
